name,highway,oneway,length,lanes,speed_kph,maxspeed,travel_time,geometry
Greenthumb Lane,residential,False,235.81400000000002,,40.2,,21.1,"LINESTRING (618894.8086003026 4401985.992833748, 618893.4254002266 4401881.725269199, 618892.2869522758 4401750.5951094)"
Elliott Road,tertiary,False,125.572,,48.3,30 mph,9.4,"LINESTRING (618520.4475577642 4401975.537924876, 618394.6205246985 4401972.818096697)"
Elliott Road,tertiary,False,341.8430000000001,,48.3,30 mph,25.5,"LINESTRING (618520.4475577642 4401975.537924876, 618639.6493473985 4401980.0446758, 618647.7907686204 4401979.948536516, 618654.5547156929 4401980.27517535, 618696.7694224714 4401982.038330524, 618705.9388009608 4401981.958156211, 618715.269201829 4401982.546593279, 618734.2915468717 4401982.507896856, 618744.0433901423 4401983.546963749, 618753.7267476226 4401983.474801343, 618764.0868195308 4401983.968217188, 618795.0968342723 4401984.448298152, 618801.6003496889 4401984.993070916, 618832.1032618483 4401985.021376562, 618837.7501451025 4401985.552912307, 618846.3267631887 4401985.019651554, 618862.7775044565 4401985.052457692)"
Camino Lane,residential,False,132.33700000000002,,40.2,,11.9,"LINESTRING (618520.4475577642 4401975.537924876, 618521.3341073612 4401907.053488742, 618521.8482165773 4401895.959627026, 618521.5880449568 4401873.974037909, 618522.0595370366 4401843.451363939)"
Pleasant Lane,residential,False,262.867,,40.2,,23.5,"LINESTRING (618858.7695293351 4402238.223007818, 618941.2231430843 4402241.898905285, 619121.9701231989 4402249.965577019)"
Maxwell Drive,residential,False,253.669,,40.2,,22.7,"LINESTRING (618858.7695293351 4402238.223007818, 618858.8813032313 4402231.008551445, 618861.2498767754 4402155.552823131, 618861.7817254048 4402082.511048649, 618861.2965267762 4402058.523589652, 618862.430939232 4402024.014490344, 618862.7775044565 4401985.052457692)"
Maxwell Drive,residential,False,199.713,,40.2,,17.9,"LINESTRING (618858.7695293351 4402238.223007818, 618858.1693868663 4402276.959090265, 618857.376530689 4402300.482683368, 618857.1073045672 4402334.450109679, 618855.7985574611 4402391.27120252, 618855.5237383661 4402403.478958298, 618855.08146399 4402437.554727119)"
,residential,False,43.357,,40.2,,3.9,"LINESTRING (620187.4367050177 4404631.848200301, 620144.1989883567 4404636.166307378)"
,residential,False,43.357,,40.2,,3.9,"LINESTRING (620144.1989883567 4404636.166307378, 620187.4367050177 4404631.848200301)"
Taylor Lane,residential,False,199.83800000000002,,40.2,,17.9,"LINESTRING (620144.1989883567 4404636.166307378, 620098.3105919649 4404645.661040313, 620087.3916598628 4404713.877933682, 620075.9486202445 4404739.011103737, 620023.0539292118 4404758.388260454)"
,residential,False,69.357,,40.2,,6.2,"LINESTRING (620144.1989883567 4404636.166307378, 620144.715627674 4404603.201637434, 620178.0087765596 4404588.513833396)"
Taylor Lane,residential,False,199.838,,40.2,,17.9,"LINESTRING (620023.0539292118 4404758.388260454, 620075.9486202445 4404739.011103737, 620087.3916598628 4404713.877933682, 620098.3105919649 4404645.661040313, 620144.1989883567 4404636.166307378)"
Rocky Lane,residential,False,61.015,,40.2,,5.5,"LINESTRING (620023.0539292118 4404758.388260454, 620022.2317542518 4404789.016735691, 620021.749277678 4404819.284167148)"
Rocky Lane,residential,False,180.147,,40.2,,16.1,"LINESTRING (620023.0539292118 4404758.388260454, 620025.4022811796 4404674.05030925, 620025.3968859676 4404652.512469015, 620026.0447962083 4404627.543258434, 620026.5542666181 4404578.591702244)"
,residential,False,69.357,,40.2,,6.2,"LINESTRING (620178.0087765596 4404588.513833396, 620144.715627674 4404603.201637434, 620144.1989883567 4404636.166307378)"
Andrea Lane,residential,False,70.288,,40.2,,6.3,"LINESTRING (620448.0322943658 4404435.647889791, 620452.5511818241 4404505.672313511)"
Herman Lane,residential,False,70.14699999999999,,40.2,,6.3,"LINESTRING (620448.0322943658 4404435.647889791, 620417.4695859099 4404437.843345196, 620377.8061611375 4404438.108602228)"
Andrea Lane,residential,False,122.89599999999999,,40.2,,11.0,"LINESTRING (620448.0322943658 4404435.647889791, 620452.7090404761 4404383.86413667, 620523.5830453817 4404387.631371821)"
Andrea Lane,residential,False,70.288,,40.2,,6.3,"LINESTRING (620452.5511818241 4404505.672313511, 620448.0322943658 4404435.647889791)"
Herman Lane,residential,False,39.847,,40.2,,3.6,"LINESTRING (620377.8061611375 4404438.108602228, 620337.9224256957 4404436.039196686)"
Herman Lane,residential,False,70.14699999999999,,40.2,,6.3,"LINESTRING (620377.8061611375 4404438.108602228, 620417.4695859099 4404437.843345196, 620448.0322943658 4404435.647889791)"
Lone Cedar Lane,residential,False,211.279,,40.2,,18.9,"LINESTRING (620377.8061611375 4404438.108602228, 620380.3679396453 4404351.331573234, 620374.3026631437 4404333.917297932, 620373.3922858591 4404299.153904025, 620382.9304470576 4404280.874431133, 620384.0056939598 4404250.582995049, 620384.747586878 4404230.611137535)"
Denmar Lane,residential,False,103.425,,40.2,,9.3,"LINESTRING (620523.5830453817 4404387.631371821, 620528.3224639603 4404284.490978635)"
Denmar Lane,residential,False,19.181,,40.2,,1.7,"LINESTRING (620523.5830453817 4404387.631371821, 620524.7473071854 4404406.745044091)"
Andrea Lane,residential,False,122.89599999999999,,40.2,,11.0,"LINESTRING (620523.5830453817 4404387.631371821, 620452.7090404761 4404383.86413667, 620448.0322943658 4404435.647889791)"
,residential,False,37.905,,40.2,,3.4,"LINESTRING (620966.9530176731 4404688.073119901, 620957.9368118482 4404694.925100869, 620954.2631564077 4404699.752009939, 620951.5890836043 4404706.371010272, 620950.4809282842 4404711.460440147, 620952.4117822519 4404719.373317275)"
